iter	Passed	Remaining
0	32	32254
1	62	31166
2	93	31090
3	125	31371
4	162	32332
5	194	32261
6	225	31974
7	255	31662
8	291	32098
9	323	31998
10	351	31641
11	380	31298
12	413	31359
13	453	31952
14	487	31981
15	518	31884
16	550	31814
17	584	31893
18	621	32085
19	656	32171
20	690	32170
21	725	32267
22	768	32640
23	807	32833
24	841	32810
25	878	32907
26	919	33127
27	959	33291
28	1005	33653
29	1044	33776
30	1083	33863
31	1121	33934
32	1161	34023
33	1199	34086
34	1235	34051
35	1265	33891
36	1302	33912
37	1340	33944
38	1371	33787
39	1400	33607
40	1431	33482
41	1466	33448
42	1501	33419
43	1539	33451
44	1576	33462
45	1609	33373
46	1643	33334
47	1680	33331
48	1718	33350
49	1753	33308
50	1790	33318
51	1827	33313
52	1864	33311
53	1899	33284
54	1932	33202
55	1964	33118
56	1998	33057
57	2032	33016
58	2065	32950
59	2099	32891
60	2151	33125
61	2187	33096
62	2222	33058
63	2254	32974
64	2284	32859
65	2313	32746
66	2352	32765
67	2383	32673
68	2411	32542
69	2443	32462
70	2479	32446
71	2518	32456
72	2555	32454
73	2589	32408
74	2628	32420
75	2667	32437
76	2699	32353
77	2733	32306
78	2762	32209
79	2792	32117
80	2825	32054
81	2856	31981
82	2886	31892
83	2917	31816
84	2949	31755
85	2982	31698
86	3010	31594
87	3039	31505
88	3070	31426
89	3099	31342
90	3129	31265
91	3164	31233
92	3198	31198
93	3231	31144
94	3268	31134
95	3303	31112
96	3335	31053
97	3369	31008
98	3400	30944
99	3439	30954
100	3481	30987
101	3515	30952
102	3552	30939
103	3587	30909
104	3625	30902
105	3660	30870
106	3692	30815
107	3725	30771
108	3759	30733
109	3798	30734
110	3831	30689
111	3867	30661
112	3901	30627
113	3940	30628
114	3971	30563
115	4004	30513
116	4035	30454
117	4071	30429
118	4104	30385
119	4142	30379
120	4175	30335
121	4210	30305
122	4244	30261
123	4284	30270
124	4319	30237
125	4355	30210
126	4390	30178
127	4427	30165
128	4466	30156
129	4506	30159
130	4547	30163
131	4592	30196
132	4626	30162
133	4658	30105
134	4689	30049
135	4722	30000
136	4755	29957
137	4792	29936
138	4826	29897
139	4862	29867
140	4896	29828
141	4930	29792
142	4959	29724
143	4987	29648
144	5019	29598
145	5050	29542
146	5081	29488
147	5109	29416
148	5140	29356
149	5168	29288
150	5202	29251
151	5235	29209
152	5267	29161
153	5296	29097
154	5324	29027
155	5357	28982
156	5388	28933
157	5418	28876
158	5449	28821
159	5482	28783
160	5521	28773
161	5550	28711
162	5583	28669
163	5616	28628
164	5648	28584
165	5686	28567
166	5719	28529
167	5752	28490
168	5784	28443
169	5817	28402
170	5852	28374
