iter	RMSE
0	2.083837451
1	2.028549031
2	1.97634846
3	1.925162354
4	1.877013545
5	1.83120052
6	1.785613893
7	1.741487176
8	1.699395952
9	1.658852879
10	1.618959506
11	1.583927439
12	1.548869635
13	1.514738594
14	1.481037795
15	1.449745884
16	1.421460254
17	1.393088306
18	1.368255984
19	1.343455941
20	1.318652783
21	1.295694237
22	1.274524562
23	1.251478254
24	1.229334497
25	1.207882014
26	1.188730295
27	1.168946138
28	1.149585139
29	1.131958038
30	1.11517121
31	1.101056357
32	1.08713308
33	1.072969831
34	1.059376807
35	1.045183785
36	1.033000948
37	1.021579497
38	1.010617445
39	0.9997342799
40	0.9899277769
41	0.9803373358
42	0.9710641146
43	0.9618574481
44	0.9524144705
45	0.9442444184
46	0.9357317786
47	0.927697136
48	0.9208274263
49	0.9143690587
50	0.9070874676
51	0.9004312566
52	0.8951082811
53	0.8882352173
54	0.882620252
55	0.8763249733
56	0.8709850018
57	0.8656069858
58	0.860551568
59	0.8551157553
60	0.8505957026
61	0.8460958241
62	0.8410904483
63	0.8374292855
64	0.8327762942
65	0.8284435057
66	0.8239534001
67	0.8196292411
68	0.8151767534
69	0.8107822315
70	0.8078742019
71	0.8052395399
72	0.8020804467
73	0.7994122176
74	0.7961127516
75	0.7938572547
76	0.791234986
77	0.7884872403
78	0.785881763
79	0.7832928929
80	0.7801259007
81	0.7769401749
82	0.7744694195
83	0.7716629987
84	0.7696484618
85	0.7676095416
86	0.7656593281
87	0.763380588
88	0.7616043982
89	0.7600261054
90	0.7578353412
91	0.7563389207
92	0.7541980362
93	0.7521678173
94	0.7497707586
95	0.7477725936
96	0.7455895408
97	0.7438716029
98	0.7424210354
99	0.7409976556
100	0.7383904535
101	0.7362750606
102	0.7342498728
103	0.73243514
104	0.7301886869
105	0.7289926791
106	0.7280774716
107	0.7263275403
108	0.7248445069
109	0.7235533183
110	0.7220276543
111	0.7208556365
112	0.7196978132
113	0.7187755877
114	0.7178324786
115	0.7166644721
116	0.7152927232
117	0.7135878778
118	0.7123835527
119	0.7109041295
120	0.7092568993
121	0.7078786459
122	0.7066488167
123	0.7056071782
124	0.7044039902
125	0.7040687358
126	0.7025287416
127	0.7013312007
128	0.7006592547
129	0.6998172818
130	0.6987482246
131	0.6978736302
132	0.6969449156
133	0.6954096794
134	0.6943761833
135	0.6932362923
136	0.6920489085
137	0.6910934454
138	0.6897567986
139	0.6894085983
140	0.6882616688
141	0.6870786908
142	0.6864294169
143	0.6855120569
144	0.6843451159
145	0.6833318147
146	0.6821303837
147	0.6813726525
148	0.6804886621
149	0.6796094267
150	0.6792320998
151	0.6790120206
152	0.6782463547
153	0.6778363527
154	0.67715198
155	0.675979946
156	0.675098974
157	0.6738477225
158	0.6729068367
159	0.6722445762
160	0.6714202011
161	0.6708629664
162	0.6693348258
163	0.6687463177
164	0.6683136755
165	0.667567453
166	0.6670933376
167	0.66645626
168	0.6656386859
169	0.6650963222
170	0.6642419859
171	0.6635015174
172	0.6630907194
173	0.6625292554
174	0.6621366578
175	0.6617878809
176	0.6614196466
177	0.6607373829
178	0.6597655028
179	0.6588547174
180	0.6577854901
181	0.6572955451
182	0.6567815108
183	0.6561460287
184	0.6558303219
185	0.6554960554
186	0.654724828
187	0.6541565631
188	0.6537902997
189	0.6534467569
190	0.6529857055
191	0.6524590028
192	0.6517176889
193	0.6511501601
194	0.6509603839
195	0.6500180738
196	0.6493141398
197	0.6488023797
198	0.6482366627
199	0.6474074299
200	0.6464312826
201	0.6460546218
202	0.6456053831
203	0.6451914253
204	0.6447934601
205	0.6442389483
206	0.6439232191
207	0.643586618
208	0.6432117709
209	0.6426814122
210	0.6419040837
211	0.6415437997
212	0.6413040319
213	0.6406432101
214	0.6402135449
215	0.6399173434
216	0.6396687158
217	0.6392736872
218	0.6388224751
219	0.6382635672
220	0.6375928723
221	0.6372636022
222	0.6370399644
223	0.6367792898
224	0.6361841067
225	0.6358431917
226	0.6352612029
227	0.634826761
228	0.6343918069
229	0.6333056233
230	0.6330421754
231	0.6328022659
232	0.6314410514
233	0.6312395
234	0.6308975657
235	0.6306072127
236	0.6299382375
237	0.629308655
238	0.6283067048
239	0.62741301
240	0.6270354902
241	0.6267370083
242	0.6261144984
243	0.6254406546
244	0.6243896193
245	0.6234439648
246	0.622911366
247	0.6223481204
248	0.6218911659
249	0.6217612833
250	0.6214741694
251	0.6212996213
252	0.6211202654
253	0.6207453322
254	0.6200720921
255	0.6197745329
256	0.6194917735
257	0.6189432602
258	0.6183525375
259	0.6178244484
260	0.6175539015
261	0.617296017
262	0.6169372349
263	0.6164925165
264	0.6163469296
265	0.6157974884
266	0.6152585733
267	0.614367631
268	0.6142255316
269	0.6140970176
270	0.6133894094
271	0.6133042255
272	0.6128612246
273	0.6126822921
274	0.6126607032
275	0.6117697694
276	0.6113887744
277	0.610754292
278	0.6105780244
279	0.6104872402
280	0.6102689816
281	0.6097772233
282	0.6096253134
283	0.6091434442
284	0.6089298475
285	0.6081591548
286	0.6074886785
287	0.6066054169
288	0.6065031905
289	0.6058678451
290	0.6057623895
291	0.6055161372
292	0.6053385121
293	0.6048218474
294	0.6046879134
295	0.6043204267
296	0.6041281939
297	0.6035455386
298	0.602602788
299	0.6021339961
300	0.6015606902
301	0.6011139949
302	0.6007273771
303	0.6000181263
304	0.5998841026
305	0.5988851285
306	0.5987708707
307	0.598376918
308	0.5980931229
309	0.5979888052
310	0.5973821674
311	0.5968785767
312	0.5967374544
313	0.5959013359
314	0.5954561852
315	0.5949419189
316	0.5940060516
317	0.5937643162
318	0.593269836
319	0.5925510727
320	0.5921783531
321	0.591590801
322	0.5914723639
323	0.5910841887
324	0.5909695142
325	0.5904898624
326	0.5903804241
327	0.5896032418
328	0.5893656916
329	0.5885605644
330	0.5884264117
331	0.588206148
332	0.5877234678
333	0.587120687
334	0.5866743236
335	0.5861491774
336	0.5859071468
337	0.585446961
338	0.5845286494
339	0.5840760682
340	0.5840186318
341	0.5834209726
342	0.5832099401
343	0.5831693741
344	0.5830957829
345	0.5828770142
346	0.5825241116
347	0.5824128586
348	0.5818890197
349	0.5813084953
350	0.5808249657
351	0.5801059602
352	0.5800471937
353	0.5794524375
354	0.579307551
355	0.5789236735
356	0.5779544949
357	0.5778181954
358	0.5773693504
359	0.5770153695
360	0.5763000498
361	0.5759142387
362	0.5751508071
363	0.5745967202
364	0.5738856162
365	0.5737847646
366	0.5725011255
367	0.5721645312
368	0.5717962145
369	0.571316288
370	0.5709102403
371	0.5705756456
372	0.5703166557
373	0.5697942922
374	0.5690879416
375	0.5686975906
376	0.5685231238
377	0.5684513037
378	0.5683403048
379	0.5682995573
380	0.5679951809
381	0.5676504722
382	0.5669353511
383	0.566163327
384	0.5659115939
385	0.5655761478
386	0.5654856703
387	0.5653797288
388	0.5647889011
389	0.5647021048
390	0.5642484078
391	0.5640145342
392	0.56392266
393	0.5631422833
394	0.5623574843
395	0.5615049253
396	0.5611236595
397	0.5607134065
398	0.560173839
399	0.5597297167
400	0.5594107184
401	0.5589892637
402	0.5581302943
403	0.5576814574
404	0.5574662718
405	0.5574147627
406	0.5567828587
407	0.5564703901
408	0.5559901611
409	0.5554427693
410	0.5550082647
411	0.5543902029
412	0.5537448429
413	0.5536165666
414	0.5530042166
415	0.552759569
416	0.55221752
417	0.5519021899
418	0.5513256492
419	0.5504364986
420	0.550327226
421	0.5501997634
422	0.5499615614
423	0.5492406066
424	0.5489187526
425	0.5486999571
426	0.548030674
427	0.547901887
428	0.5473718617
429	0.5469529886
430	0.5468047667
431	0.5464604664
432	0.5463196629
433	0.5456951778
434	0.5450613112
435	0.5445168652
436	0.5442277421
437	0.5441036127
438	0.5437052015
439	0.5429664268
440	0.5427156135
441	0.5424283649
442	0.5422114767
443	0.5416213812
444	0.5409618898
445	0.5404934436
446	0.5403639978
447	0.5401685078
448	0.5400664902
449	0.5398682714
450	0.5392386783
451	0.5387864206
452	0.5381685475
453	0.5377673593
454	0.537339079
455	0.5370131733
456	0.5369341411
457	0.5365573433
458	0.5360325808
459	0.5356012122
460	0.5354572249
461	0.5351464934
462	0.534530818
463	0.5340686931
464	0.5336344872
465	0.5335627978
466	0.5334207182
467	0.5329066501
468	0.5324083998
469	0.5319199624
470	0.5317409703
471	0.5314494784
472	0.5309717698
473	0.5307391846
474	0.5302065755
475	0.5297420313
476	0.5287065976
477	0.5283274518
478	0.5280020659
479	0.5275995518
480	0.5275491152
481	0.5271868562
482	0.5271463732
483	0.5268687643
484	0.5263819818
485	0.5260290943
486	0.5258848778
487	0.5256137991
488	0.5255517356
489	0.5251316863
490	0.5245556993
491	0.5239477687
492	0.5234610571
493	0.5231428456
494	0.5228062567
495	0.5226282173
496	0.5225170054
497	0.522450087
498	0.5221139496
499	0.5217386333
500	0.52138743
501	0.5210816675
502	0.5205345115
503	0.5204250223
504	0.5201875366
505	0.5199707267
506	0.5196778264
507	0.5196071047
508	0.5193157923
509	0.5187248042
510	0.5186226806
511	0.5182577943
512	0.5177980466
513	0.5174832048
514	0.5172165975
515	0.5170419791
516	0.5170134319
517	0.5166216296
518	0.516384475
519	0.5163085419
520	0.5161975502
521	0.5160882567
522	0.5156907728
523	0.5154042818
524	0.5149544288
525	0.5145333852
526	0.514138731
527	0.5136526582
528	0.5132063493
529	0.5127121525
530	0.5121749089
531	0.5118498531
532	0.5114815106
533	0.5111401885
534	0.5108690456
535	0.5105851805
536	0.5105083232
537	0.5101869749
538	0.5097366749
539	0.5092569292
540	0.5088336494
541	0.5085572654
542	0.5081591383
543	0.5077452063
544	0.5074441074
545	0.5070591949
546	0.5069568292
547	0.5066084423
548	0.5060765195
549	0.5059402646
550	0.5055388662
551	0.5050832175
552	0.5046506437
553	0.5045694042
554	0.5041141703
555	0.503789204
556	0.5036413418
557	0.5032388344
558	0.503067027
559	0.5026949405
560	0.5024680249
561	0.502138724
562	0.5018578602
563	0.5015705064
564	0.5010821434
565	0.5007491803
566	0.5003885675
567	0.5003186068
568	0.4999498227
569	0.4999141704
570	0.4996666342
571	0.4995248956
572	0.4993059732
573	0.4991972447
574	0.499000089
575	0.4985806419
576	0.4981220612
577	0.4979004276
578	0.497601443
579	0.4972809933
580	0.4969245148
581	0.4966147118
582	0.4965312294
583	0.4962013837
584	0.4961655236
585	0.4958574033
586	0.4955905934
587	0.4955301112
588	0.4954143553
589	0.4950781904
590	0.4949910867
591	0.4947462268
592	0.4943642578
593	0.4943244771
594	0.4940719322
595	0.4936168344
596	0.4930683034
597	0.493000231
598	0.4927188641
599	0.4926358837
600	0.4922642899
601	0.4920856004
602	0.4916297505
603	0.4913201501
604	0.4910260467
605	0.4907458919
606	0.4904511305
607	0.4901705499
608	0.4899719403
609	0.4898469785
610	0.4897752387
611	0.4893973953
612	0.4892873379
613	0.489122931
614	0.4886531074
615	0.4882815667
616	0.487791615
617	0.4876712318
618	0.4871156759
619	0.4869936937
620	0.486636706
621	0.4863045571
622	0.486141367
623	0.4860300393
624	0.4858271325
625	0.4857193278
626	0.4853766381
627	0.4849487408
628	0.4846569148
629	0.4845438598
