iter	Passed	Remaining
0	1	1785
1	3	1870
2	5	1972
3	7	1830
4	9	1918
5	10	1778
6	12	1719
7	13	1714
8	15	1731
9	17	1754
10	19	1773
11	21	1790
12	23	1753
13	24	1751
14	26	1718
15	28	1755
16	29	1714
17	30	1675
18	33	1708
19	34	1682
20	35	1651
21	36	1622
22	38	1647
23	40	1645
24	41	1620
25	42	1605
26	44	1613
27	46	1623
28	47	1599
29	49	1591
30	50	1573
31	52	1576
32	53	1569
33	55	1566
34	56	1557
35	58	1573
36	60	1584
37	62	1573
38	63	1560
39	64	1550
40	66	1555
41	68	1555
42	69	1543
43	71	1549
44	73	1551
45	74	1540
46	75	1531
47	76	1517
48	77	1507
49	78	1500
50	80	1491
51	81	1480
52	82	1468
53	83	1465
54	85	1472
55	86	1464
56	88	1455
57	89	1449
58	90	1441
59	91	1436
60	93	1441
61	95	1439
62	96	1435
63	97	1426
64	99	1424
65	100	1418
66	101	1411
67	102	1405
68	103	1399
69	105	1402
70	106	1396
71	108	1396
72	109	1392
73	110	1388
74	112	1386
75	113	1382
76	114	1376
77	115	1369
78	117	1374
79	119	1371
80	120	1371
81	122	1367
82	124	1371
83	126	1376
84	127	1374
85	128	1369
86	130	1367
87	132	1369
88	133	1364
89	134	1359
90	135	1353
91	136	1347
92	138	1347
93	139	1344
94	140	1342
95	142	1338
96	143	1339
97	145	1339
98	146	1334
99	147	1331
100	149	1326
101	150	1325
102	152	1328
103	153	1324
104	154	1321
105	156	1317
106	158	1323
107	160	1322
108	161	1320
109	162	1318
110	164	1316
111	165	1315
112	167	1311
113	168	1308
114	170	1311
115	171	1308
116	173	1307
117	174	1302
118	176	1303
119	177	1303
120	178	1299
121	179	1294
122	181	1291
123	182	1288
124	184	1291
125	185	1288
126	187	1289
127	188	1285
128	190	1286
129	191	1283
130	193	1280
131	194	1279
132	196	1279
133	198	1283
134	200	1284
135	202	1285
136	204	1288
137	206	1289
138	208	1292
139	211	1298
140	213	1302
141	215	1302
142	216	1299
143	218	1299
144	220	1301
145	221	1297
146	223	1298
147	225	1297
148	226	1294
149	227	1290
150	228	1286
151	230	1283
152	232	1284
153	234	1286
154	236	1290
155	239	1293
156	240	1293
157	243	1296
158	245	1297
159	247	1296
160	248	1293
161	250	1294
162	251	1292
163	253	1292
164	254	1288
165	255	1284
166	257	1284
167	258	1281
168	260	1278
169	261	1274
170	262	1273
171	264	1273
172	266	1275
173	269	1279
174	271	1278
175	273	1278
176	274	1277
177	277	1279
178	278	1277
179	279	1274
180	281	1272
181	282	1270
182	284	1270
183	286	1268
184	288	1269
185	289	1267
186	291	1265
187	292	1262
188	293	1259
189	294	1256
190	296	1256
191	298	1256
192	299	1252
193	300	1249
194	301	1246
195	303	1246
196	305	1245
197	306	1241
198	307	1238
199	310	1240
200	311	1239
201	313	1236
202	314	1235
203	316	1235
204	318	1237
205	320	1235
206	322	1236
207	324	1236
208	326	1235
209	327	1232
210	330	1234
211	332	1236
212	335	1238
213	337	1239
214	339	1240
215	341	1238
216	343	1238
217	344	1235
218	345	1233
219	347	1231
220	348	1228
221	350	1227
222	351	1225
223	352	1222
224	354	1219
225	355	1218
226	357	1216
227	358	1213
228	359	1211
229	361	1209
230	362	1207
231	365	1209
232	368	1212
233	370	1212
234	372	1211
235	373	1207
236	374	1204
237	375	1202
238	377	1202
239	379	1201
240	380	1198
241	382	1198
242	385	1200
243	386	1197
244	388	1197
245	390	1198
246	392	1195
247	393	1194
248	395	1192
249	396	1190
250	399	1190
251	401	1190
252	403	1190
253	405	1189
254	406	1186
255	407	1184
256	408	1182
257	410	1181
258	412	1181
259	414	1179
260	416	1179
261	417	1177
262	419	1174
263	420	1171
264	421	1168
265	422	1166
266	424	1164
267	425	1161
268	426	1158
269	427	1155
270	428	1152
271	430	1151
272	431	1148
273	432	1145
274	432	1141
275	433	1138
276	434	1135
277	436	1133
278	437	1131
279	438	1128
280	439	1125
281	440	1122
282	442	1120
283	443	1118
284	444	1116
285	446	1114
